Epoch,TimeStamp,low,high,open,close,volume
501949800,1985-11-27 14:30:00,9.78125,9.96875,9.84375,9.84375,2504800
502122600,1985-11-29 14:30:00,9.53125,9.84375,9.78125,9.5625,2510400
502381800,1985-12-02 14:30:00,9.3125,9.625,9.5,9.34375,1310800
502468200,1985-12-03 14:30:00,9.34375,9.4375,9.34375,9.40625,1135200
502554600,1985-12-04 14:30:00,9.21875,9.5,9.40625,9.4375,1666000
502641000,1985-12-05 14:30:00,9.4375,9.65625,9.4375,9.53125,1647600
502727400,1985-12-06 14:30:00,9.46875,9.65625,9.5,9.5,1755600
502986600,1985-12-09 14:30:00,9.0,9.25,9.125,9.0,4000000
503073000,1985-12-10 14:30:00,8.5,9.0,9.0,8.5,6640000
503159400,1985-12-11 14:30:00,8.40625,8.71875,8.5,8.65625,4560000
503245800,1985-12-12 14:30:00,8.75,8.90625,8.875,8.8125,3207200
503332200,1985-12-13 14:30:00,8.8125,9.125,8.84375,9.125,2065600
503591400,1985-12-16 14:30:00,9.03125,9.375,9.09375,9.25,3163200
503677800,1985-12-17 14:30:00,9.09375,9.25,9.25,9.1875,1867200
503764200,1985-12-18 14:30:00,9.1875,9.4375,9.1875,9.375,2148000
503850600,1985-12-19 14:30:00,9.375,9.5,9.40625,9.4375,2190400
503937000,1985-12-20 14:30:00,9.4375,9.53125,9.5,9.4375,3361600
504196200,1985-12-23 14:30:00,9.28125,9.4375,9.4375,9.28125,1013200
504282600,1985-12-24 14:30:00,9.21875,9.34375,9.28125,9.28125,1012800
504455400,1985-12-26 14:30:00,9.25,9.375,9.25,9.3125,760400
504541800,1985-12-27 14:30:00,9.28125,9.40625,9.3125,9.3125,1532400
504801000,1985-12-30 14:30:00,9.1875,9.40625,9.34375,9.375,1500800
504887400,1985-12-31 14:30:00,9.34375,9.625,9.375,9.53125,2513200
505060200,1986-01-02 14:30:00,9.3125,9.53125,9.53125,9.375,1579200
505146600,1986-01-03 14:30:00,9.34375,9.46875,9.375,9.4375,1092400
505405800,1986-01-06 14:30:00,9.40625,9.46875,9.46875,9.40625,717200
505492200,1986-01-07 14:30:00,9.4375,9.59375,9.46875,9.5625,1642000
505578600,1986-01-08 14:30:00,9.1875,9.59375,9.59375,9.21875,2185600
505665000,1986-01-09 14:30:00,9.0625,9.40625,9.25,9.34375,2147200
505751400,1986-01-10 14:30:00,9.21875,9.4375,9.34375,9.34375,1447600
506010600,1986-01-13 14:30:00,9.375,9.46875,9.375,9.4375,1630800
506097000,1986-01-14 14:30:00,9.15625,9.46875,9.46875,9.28125,2054400
506183400,1986-01-15 14:30:00,9.28125,9.5,9.3125,9.3125,814800
506269800,1986-01-16 14:30:00,9.125,9.34375,9.34375,9.125,2800800
506356200,1986-01-17 14:30:00,8.84375,9.09375,8.9375,9.09375,4160000
506615400,1986-01-20 14:30:00,8.84375,9.0,8.96875,8.90625,1434400
506701800,1986-01-21 14:30:00,8.5625,8.9375,8.90625,8.71875,3354800
506788200,1986-01-22 14:30:00,8.6875,8.875,8.8125,8.6875,2623600
506874600,1986-01-23 14:30:00,8.53125,8.84375,8.6875,8.78125,2970800
506961000,1986-01-24 14:30:00,8.78125,9.1875,8.78125,9.125,3253600
507220200,1986-01-27 14:30:00,8.875,9.0625,9.0625,8.90625,2829200
507306600,1986-01-28 14:30:00,8.625,8.9375,8.9375,8.75,2096400
507393000,1986-01-29 14:30:00,8.71875,8.875,8.71875,8.78125,2151200
507479400,1986-01-30 14:30:00,8.625,8.9375,8.78125,8.9375,2001200
507565800,1986-01-31 14:30:00,8.9375,9.1875,8.9375,9.125,2885200
507825000,1986-02-03 14:30:00,8.8125,9.0,8.875,8.875,2412400
507911400,1986-02-04 14:30:00,8.5,8.875,8.84375,8.5,3456000
507997800,1986-02-05 14:30:00,8.5,8.6875,8.53125,8.5625,2647200
508084200,1986-02-06 14:30:00,8.53125,8.6875,8.5625,8.59375,3790400
508170600,1986-02-07 14:30:00,8.59375,8.8125,8.625,8.78125,2482800
508429800,1986-02-10 14:30:00,8.75,8.875,8.8125,8.78125,2540800
508516200,1986-02-11 14:30:00,8.625,8.78125,8.78125,8.625,1764800
508602600,1986-02-12 14:30:00,8.59375,8.75,8.6875,8.6875,1954000
508689000,1986-02-13 14:30:00,8.71875,8.84375,8.71875,8.84375,2098800
508775400,1986-02-14 14:30:00,8.8125,8.9375,8.84375,8.9375,1636800
509121000,1986-02-18 14:30:00,8.875,9.0625,8.90625,8.96875,2304800
509207400,1986-02-19 14:30:00,8.6875,8.96875,8.9375,8.75,2333200
509293800,1986-02-20 14:30:00,8.6875,8.875,8.75,8.75,3384400
509380200,1986-02-21 14:30:00,8.84375,8.96875,8.875,8.96875,3230400
509639400,1986-02-24 14:30:00,8.90625,9.125,8.90625,9.125,3368400
509725800,1986-02-25 14:30:00,9.21875,9.4375,9.25,9.40625,4520000
509812200,1986-02-26 14:30:00,9.40625,9.5625,9.4375,9.5,3610400
509898600,1986-02-27 14:30:00,9.15625,9.53125,9.5,9.21875,3351600
509985000,1986-02-28 14:30:00,9.0625,9.25,9.25,9.1875,2398000
510244200,1986-03-03 14:30:00,8.96875,9.1875,9.1875,9.0,2300400
510330600,1986-03-04 14:30:00,8.875,9.03125,9.0,8.96875,2198400
510417000,1986-03-05 14:30:00,8.90625,9.125,8.90625,9.09375,2741600
510503400,1986-03-06 14:30:00,8.875,9.0,8.9375,8.9375,2295600
510589800,1986-03-07 14:30:00,8.625,8.90625,8.875,8.75,3534400
510849000,1986-03-10 14:30:00,8.6875,8.875,8.71875,8.75,3286400
510935400,1986-03-11 14:30:00,9.0625,9.1875,9.125,9.15625,5440000
511021800,1986-03-12 14:30:00,9.21875,9.5625,9.25,9.375,4800000
511108200,1986-03-13 14:30:00,9.15625,9.40625,9.375,9.1875,2627200
511194600,1986-03-14 14:30:00,9.03125,9.5,9.1875,9.25,3088000
511453800,1986-03-17 14:30:00,9.21875,9.4375,9.3125,9.40625,2840000
511540200,1986-03-18 14:30:00,9.375,9.5625,9.5,9.375,2912800
511626600,1986-03-19 14:30:00,9.34375,9.53125,9.4375,9.375,2394000
511713000,1986-03-20 14:30:00,9.34375,9.53125,9.375,9.5,2539600
511799400,1986-03-21 14:30:00,9.3125,9.625,9.5625,9.40625,5080000
512058600,1986-03-24 14:30:00,9.09375,9.40625,9.34375,9.25,1872000
512145000,1986-03-25 14:30:00,9.03125,9.25,9.21875,9.21875,2041200
512231400,1986-03-26 14:30:00,9.25,9.40625,9.28125,9.34375,1640800
512317800,1986-03-27 14:30:00,9.28125,9.5,9.40625,9.34375,1555200
512663400,1986-03-31 14:30:00,9.125,9.34375,9.34375,9.125,1715600
512749800,1986-04-01 14:30:00,9.0,9.1875,9.09375,9.125,3864000
512836200,1986-04-02 14:30:00,9.1875,9.5,9.21875,9.40625,3943200
512922600,1986-04-03 14:30:00,9.21875,9.4375,9.375,9.3125,2546800
513009000,1986-04-04 14:30:00,9.15625,9.375,9.3125,9.3125,2684000
513268200,1986-04-07 14:30:00,9.21875,9.40625,9.375,9.375,1935200
513354600,1986-04-08 14:30:00,9.28125,9.46875,9.46875,9.375,2013600
513441000,1986-04-09 14:30:00,9.21875,9.4375,9.40625,9.3125,3027200
513527400,1986-04-10 14:30:00,9.28125,9.53125,9.34375,9.5,4640000
513613800,1986-04-11 14:30:00,9.5,9.71875,9.53125,9.6875,2592400
513873000,1986-04-14 14:30:00,9.71875,9.78125,9.75,9.78125,2165600
513959400,1986-04-15 14:30:00,9.78125,9.90625,9.8125,9.8125,4468000
514045800,1986-04-16 14:30:00,9.65625,9.84375,9.8125,9.75,2889600
514132200,1986-04-17 14:30:00,9.5625,9.71875,9.71875,9.5625,2750800
514218600,1986-04-18 14:30:00,9.4375,9.5625,9.53125,9.46875,2729600
514477800,1986-04-21 14:30:00,9.40625,9.71875,9.4375,9.6875,1488800
514564200,1986-04-22 14:30:00,9.5625,9.78125,9.71875,9.65625,2706800
514650600,1986-04-23 14:30:00,9.40625,9.59375,9.5625,9.5625,1774800
514737000,1986-04-24 14:30:00,9.53125,9.71875,9.5625,9.6875,2586000
514823400,1986-04-25 14:30:00,9.6875,9.8125,9.71875,9.78125,1974800
515079000,1986-04-28 13:30:00,9.71875,9.84375,9.78125,9.8125,1328400
515165400,1986-04-29 13:30:00,9.71875,9.84375,9.78125,9.71875,1434800
515251800,1986-04-30 13:30:00,9.59375,9.78125,9.75,9.625,3482400
515338200,1986-05-01 13:30:00,9.5,9.65625,9.5625,9.5625,1926400
515424600,1986-05-02 13:30:00,9.5625,9.84375,9.59375,9.8125,9024000
515683800,1986-05-05 13:30:00,9.75,10.0,9.90625,9.90625,6544000
515770200,1986-05-06 13:30:00,9.8125,9.90625,9.875,9.84375,4440000
515856600,1986-05-07 13:30:00,9.78125,9.90625,9.875,9.84375,2210000
515943000,1986-05-08 13:30:00,9.8125,10.03125,9.875,9.96875,3582800
516029400,1986-05-09 13:30:00,9.90625,10.21875,10.0,10.21875,3538400
516288600,1986-05-12 13:30:00,10.25,10.375,10.28125,10.28125,3768000
516375000,1986-05-13 13:30:00,10.0625,10.34375,10.34375,10.09375,4160000
516461400,1986-05-14 13:30:00,10.0625,10.1875,10.15625,10.125,2237200
516547800,1986-05-15 13:30:00,9.84375,10.15625,10.09375,9.90625,2109600
516634200,1986-05-16 13:30:00,9.8125,9.9375,9.90625,9.9375,1749600
516893400,1986-05-19 13:30:00,9.84375,10.03125,10.0,9.9375,1242400
516979800,1986-05-20 13:30:00,9.90625,10.09375,9.9375,10.0,1746800
517066200,1986-05-21 13:30:00,9.84375,10.0,9.96875,9.84375,1290000
517152600,1986-05-22 13:30:00,9.84375,9.96875,9.84375,9.96875,1628800
517239000,1986-05-23 13:30:00,10.0,10.21875,10.0,10.125,2492000
517584600,1986-05-27 13:30:00,10.0,10.125,10.125,10.09375,1636800
517671000,1986-05-28 13:30:00,9.9375,10.09375,10.03125,10.0,2109600
517757400,1986-05-29 13:30:00,9.875,10.0625,9.96875,10.0,1504800
517843800,1986-05-30 13:30:00,9.9375,10.15625,9.96875,10.0,1996000
518103000,1986-06-02 13:30:00,10.03125,10.25,10.0625,10.15625,2799200
518189400,1986-06-03 13:30:00,10.125,10.21875,10.15625,10.21875,1163600
