"Year","Capital","Return(%)"
1990,102534.57165866696,2.534571658666959
1991,133593.7027433678,30.291374491810743
1992,137989.4008278387,3.2903482680729095
1993,147515.94692019274,6.903824522174546
1994,150112.09471899527,1.7599099304206511
1995,221735.5549184148,47.71331739357591
1996,258555.2348566701,16.605221454810327
1997,387554.1255212776,49.89219836764004
1998,534335.9982460155,37.8739027812721
1999,631296.5495508232,18.145988970064806
2000,672989.4717396419,6.604332340875904
2001,628665.2803641693,-6.5861641580955075
2002,495688.0377058433,-21.152312178158745
2003,625491.1377674416,26.186449982201808
2004,663997.4136008518,6.156166491958659
2005,640742.3014007554,-3.5022895757958015
2006,733960.1535537704,14.548415478301868
2007,840520.5746522305,14.518556706723645
2008,482817.39479670394,-42.55733775506065
2009,587992.8230615621,21.78368662735185
2010,605444.2809096007,2.9679712342698745
2011,534878.567628846,-11.655195284814466
2012,597427.956706347,11.694128885138678
2013,699906.3837437195,17.153269425545766
2014,699143.5535657849,-0.10899031579826425
2015,695894.8050482728,-0.4646754591303744
2016,772242.1047941506,10.971097814213698
2017,900907.5042387631,16.661277421400065
2018,901636.9173345382,0.08096426018689971
2019,1077219.834678126,19.473794159034036
2020,1092833.1305502886,1.4494066456572279
2021,1395390.4044484938,27.68558761993742
2022,1201134.0895049996,-13.921287857807151
2023,1922193.3577822188,60.031538075351406
2024,2505437.060520177,30.342613576133186
