"Year","Capital","Return(%)"
1990,107317.80753351832,7.317807533518325
1991,144598.9942049105,34.739049863414536
1992,144403.30154708732,-0.13533472960807294
1993,148463.84424933168,2.8119458895614393
1994,153247.508611052,3.2221072988562716
1995,218461.52303714436,42.55469796354602
1996,284654.96805887885,30.299818522495503
1997,411488.7165800936,44.557012085937004
1998,584443.7567577795,42.03153894841277
1999,735675.4385910535,25.876173726662184
2000,698815.4437332619,-5.010360945090798
2001,650126.9633880246,-6.967287397818545
2002,494691.878224699,-23.90842003434259
2003,580512.123213108,17.348221947041502
2004,597973.1006366622,3.007857497774286
2005,578327.6997018917,-3.285331884302823
2006,641208.9256455044,10.87294037204612
2007,676649.618185176,5.527167686256637
2008,434116.15924955835,-35.84328615836808
2009,504812.4248622053,16.28510344670356
2010,529203.1859068268,4.831648319923838
2011,521768.8980688281,-1.4048078386488692
2012,571449.3964973313,9.52155228346894
2013,678410.4888388875,18.717509021300668
2014,721916.5263266545,6.412937034954804
2015,719091.1306367795,-0.39137429146435165
2016,813755.2034956227,13.164405570544988
2017,996893.3336117506,22.505309868302817
2018,974837.9830299132,-2.2124082726013334
2019,1239359.5345820491,27.134924588183466
2020,1421912.4045818928,14.729613554908116
2021,1812486.6405873115,27.468234663883205
2022,1377497.513841663,-23.999576990244538
2023,1993824.7302917137,44.74252840799643
2024,2814531.2330642315,41.162419660249725
