"Year","Capital","Return(%)"
1990,108097.1161487709,8.097116148770905
1991,142974.6699807854,32.26501785249763
1992,138321.72862509242,-3.2543816022224745
1993,138701.478897452,0.27454130330448984
1994,142010.25143325562,2.3855351543080063
1995,200268.50546327268,41.023977812905784
1996,264570.67993361194,32.10798138911288
1997,373777.73941210227,41.2770831242122
1998,533982.5394190396,42.860979428105196
1999,695796.1160880065,30.30315876095392
2000,600560.5010031085,-13.687287536805783
2001,554620.0248120001,-7.649600015865548
2002,417696.12694343226,-24.687874892806146
2003,480598.2093980088,15.059292720872508
2004,486731.00135175156,1.2760746573368622
2005,474760.13899749203,-2.459441112444861
2006,530496.0979121563,11.739814344237455
2007,553220.7133237395,4.283653634367137
2008,366232.92084354686,-33.79985383087416
2009,406769.30703916046,11.068471425847203
2010,425547.5737394481,4.616441401877915
2011,429194.1768758476,0.8569201988148512
2012,470117.62874164013,9.534950391189875
2013,554426.7014897547,17.933612269291814
2014,602518.027650513,8.674063866262474
2015,602754.8020336423,0.0392974739643776
2016,680340.420111883,12.871837407728135
2017,853220.6397224327,25.410840583011453
2018,835470.0117543999,-2.080426465916974
2019,1109097.0272425106,32.75126714896847
2020,1415660.2888568137,27.6407973511342
2021,1868839.2670106594,32.01184506413669
2022,1280116.936972253,-31.502031255716663
2023,1889794.3755322443,47.626698850287326
2024,2724046.0220192904,44.14510157137105
